Date,Open,High,Low,Close,Adj Close,Volume
2016-01-15,1148.000000,1164.000000,1137.550049,1139.900024,1082.874756,6518307
2016-01-18,1139.900024,1162.099976,1128.349976,1131.900024,1075.275146,5033306
2016-01-19,1135.000000,1158.949951,1128.550049,1139.650024,1082.637451,3750218
2016-01-20,1134.000000,1160.000000,1117.000000,1121.250000,1065.157837,3753999
2016-01-21,1135.000000,1142.500000,1122.000000,1137.050049,1080.167358,3371500
2016-01-22,1148.099976,1152.500000,1131.000000,1136.250000,1079.407471,3218009
2016-01-25,1140.250000,1146.849976,1124.550049,1137.650024,1080.737427,2289631
2016-01-27,1137.650024,1137.650024,1137.650024,1137.650024,1080.737427,0
2016-01-28,1136.000000,1142.599976,1126.199951,1129.599976,1073.090088,3894299
2016-01-29,1138.000000,1170.000000,1131.599976,1164.900024,1106.624268,5116054
2016-02-01,1170.000000,1179.900024,1161.599976,1173.349976,1114.651489,2125563
2016-02-02,1176.849976,1190.000000,1164.000000,1175.550049,1116.741333,3816351
2016-02-03,1167.800049,1175.900024,1152.750000,1157.699951,1099.784180,2622983
2016-02-04,1160.050049,1194.949951,1160.050049,1179.750000,1120.731079,2774673
2016-02-05,1175.500000,1186.650024,1171.849976,1174.699951,1115.933838,1992112
2016-02-08,1163.750000,1172.199951,1143.800049,1150.800049,1093.229614,2110522
2016-02-09,1128.300049,1128.300049,1093.500000,1107.650024,1052.238037,3789786
2016-02-10,1108.000000,1127.500000,1105.000000,1108.550049,1053.093262,2933027
2016-02-11,1111.000000,1113.000000,1071.150024,1078.650024,1024.688843,2607189
2016-02-12,1094.699951,1104.400024,1067.000000,1084.650024,1030.388916,3704048
2016-02-15,1096.250000,1100.199951,1086.599976,1091.750000,1037.133667,2546739
2016-02-16,1087.000000,1092.750000,1073.699951,1079.150024,1025.163940,2562724
2016-02-17,1081.750000,1103.000000,1077.000000,1097.849976,1042.928223,2082299
2016-02-18,1100.000000,1127.000000,1100.000000,1123.400024,1067.200195,2094536
2016-02-19,1119.199951,1134.199951,1113.849976,1127.250000,1070.857544,1987009
